[0] Time Stamp,Level,ProviderGuid,EventId,Pid,Tid,ActivityId,Computer,OSType,Category,SCAgentChannel,OSName,OSMajorVersion,OSMinorVersion,Version,ComputerPrivateIps,SchemaID
2026-03-26T12:58:25.5096963Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T12:59:25.5057687Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:00:25.5093643Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:01:25.5179293Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:02:25.5218238Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:03:25.5250234Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:04:25.5305335Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:05:25.5381974Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:06:25.5479342Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:07:25.5493538Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:08:25.5498527Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:09:25.5584234Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:10:25.5584685Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:11:25.5700807Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:12:25.5841036Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:13:25.5859749Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:14:25.5959694Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:15:25.5968012Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:16:25.5997919Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:17:25.6019767Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:18:25.6148962Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:19:25.6218000Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
