[0] Time Stamp,Level,Pid,CounterName,Sample,IntervalInMs,SchemaID
[1] Time Stamp,ObfuscatedData
2026-01-29T19:29:28.0733291Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:29:28.0910850Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:29:28.0910882Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:29:38.0639828Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:29:38.0639868Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:29:38.0639885Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:29:38.0640285Z,4,5548,"\Process(MonAgent)\Handle Count",526.000000,10000, [0]
2026-01-29T19:29:38.0640309Z,4,5548,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:29:38.0640366Z,4,5548,"\Process(MonAgent)\Private Bytes",14225408.000000,10000, [0]
2026-01-29T19:29:38.0640385Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",14278656.000000,10000, [0]
2026-01-29T19:29:38.0640406Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:29:38.0640429Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:29:48.0663266Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:29:48.0663319Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:29:48.0663343Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:29:48.0663914Z,4,5548,"\Processor(_Total)\% Processor Time",2.107728,10000, [0]
2026-01-29T19:29:48.0664015Z,4,5548,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:29:48.0664049Z,4,5548,"\Process(MonAgent)\Handle Count",526.000000,10000, [0]
2026-01-29T19:29:48.0664069Z,4,5548,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:29:48.0664114Z,4,5548,"\Process(MonAgent)\Private Bytes",14225408.000000,10000, [0]
2026-01-29T19:29:48.0664132Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",14278656.000000,10000, [0]
2026-01-29T19:29:48.0664152Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:29:48.0664172Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:29:58.0596126Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:29:58.0596177Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:29:58.0596202Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:29:58.0596479Z,4,5548,"\Processor(_Total)\% Processor Time",14.056382,10000, [0]
2026-01-29T19:29:58.0596615Z,4,5548,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:29:58.0596657Z,4,5548,"\Process(MonAgent)\Handle Count",526.000000,10000, [0]
2026-01-29T19:29:58.0596802Z,4,5548,"\Process(MonAgent)\Thread Count",45.000000,10000, [0]
2026-01-29T19:29:58.0596858Z,4,5548,"\Process(MonAgent)\Private Bytes",14225408.000000,10000, [0]
2026-01-29T19:29:58.0596881Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",14278656.000000,10000, [0]
2026-01-29T19:29:58.0596905Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:29:58.0596932Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:08.0586341Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:30:08.0586387Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:30:08.0586403Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:08.0587804Z,4,5548,"\Processor(_Total)\% Processor Time",5.896134,10000, [0]
2026-01-29T19:30:08.0587913Z,4,5548,"\Process(MonAgent)\% Processor Time",0.000000,10000, [0]
2026-01-29T19:30:08.0587952Z,4,5548,"\Process(MonAgent)\Handle Count",524.000000,10000, [0]
2026-01-29T19:30:08.0587972Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:30:08.0588021Z,4,5548,"\Process(MonAgent)\Private Bytes",14180352.000000,10000, [0]
2026-01-29T19:30:08.0588038Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",14278656.000000,10000, [0]
2026-01-29T19:30:08.0588059Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:30:08.0588080Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:18.0718930Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:30:18.0718990Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:30:18.0719017Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:18.0719933Z,4,5548,"\Processor(_Total)\% Processor Time",14.074074,10000, [0]
2026-01-29T19:30:18.0720048Z,4,5548,"\Process(MonAgent)\% Processor Time",0.156041,10000, [0]
2026-01-29T19:30:18.0720098Z,4,5548,"\Process(MonAgent)\Handle Count",523.000000,10000, [0]
2026-01-29T19:30:18.0720127Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:30:18.0720183Z,4,5548,"\Process(MonAgent)\Private Bytes",14102528.000000,10000, [0]
2026-01-29T19:30:18.0720205Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",14278656.000000,10000, [0]
2026-01-29T19:30:18.0720230Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:30:18.0720255Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:28.0599494Z,4,5548,"\MaEtwListener\Events Captured",2.000000,10000, [0]
2026-01-29T19:30:28.0599547Z,4,5548,"\MaEtwListener\Events Logged",2.000000,10000, [0]
2026-01-29T19:30:28.0599569Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:28.0601944Z,4,5548,"\Processor(_Total)\% Processor Time",50.704225,10000, [0]
2026-01-29T19:30:28.0602025Z,4,5548,"\Process(MonAgent)\% Processor Time",13.610239,10000, [0]
2026-01-29T19:30:28.0602061Z,4,5548,"\Process(MonAgent)\Handle Count",551.000000,10000, [0]
2026-01-29T19:30:28.0602090Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:30:28.0602137Z,4,5548,"\Process(MonAgent)\Private Bytes",14848000.000000,10000, [0]
2026-01-29T19:30:28.0602159Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40001536.000000,10000, [0]
2026-01-29T19:30:28.0603925Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:30:28.0603950Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:38.0598534Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:30:38.0598577Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:30:38.0598598Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:38.0599699Z,4,5548,"\Processor(_Total)\% Processor Time",45.156250,10000, [0]
2026-01-29T19:30:38.0599803Z,4,5548,"\Process(MonAgent)\% Processor Time",14.375165,10000, [0]
2026-01-29T19:30:38.0599848Z,4,5548,"\Process(MonAgent)\Handle Count",550.000000,10000, [0]
2026-01-29T19:30:38.0599871Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:30:38.0599920Z,4,5548,"\Process(MonAgent)\Private Bytes",14848000.000000,10000, [0]
2026-01-29T19:30:38.0599943Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40001536.000000,10000, [0]
2026-01-29T19:30:38.0599967Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:30:38.0599989Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:48.0720395Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:30:48.0720598Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:30:48.0720616Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:48.0721115Z,4,5548,"\Processor(_Total)\% Processor Time",17.043682,10000, [0]
2026-01-29T19:30:48.0721222Z,4,5548,"\Process(MonAgent)\% Processor Time",11.860386,10000, [0]
2026-01-29T19:30:48.0721262Z,4,5548,"\Process(MonAgent)\Handle Count",546.000000,10000, [0]
2026-01-29T19:30:48.0721283Z,4,5548,"\Process(MonAgent)\Thread Count",44.000000,10000, [0]
2026-01-29T19:30:48.0721331Z,4,5548,"\Process(MonAgent)\Private Bytes",14852096.000000,10000, [0]
2026-01-29T19:30:48.0721348Z,4,5548,"\Process(MonAgent)\Private Bytes Peak",40001536.000000,10000, [0]
2026-01-29T19:30:48.0721367Z,4,5548,"\Process(MonAgent)\MA Bytes Sent/sec",0.000000,10000, [0]
2026-01-29T19:30:48.0721387Z,4,5548,"\Process(MonAgent)\MA Bytes Received/sec",0.000000,10000, [0]
2026-01-29T19:30:58.0590744Z,4,5548,"\MaEtwListener\Events Captured",0.000000,10000, [0]
2026-01-29T19:30:58.0590786Z,4,5548,"\MaEtwListener\Events Logged",0.000000,10000, [0]
2026-01-29T19:30:58.0590805Z,4,5548,"\MaEtwListener\Events Lost",0.000000,10000, [0]
2026-01-29T19:30:58.0591324Z,4,5548,"\Processor(_Total)\% Processor Time",26.251956,10000, [0]
2026-01-29T19:30:58.0591424Z,4,5548,"\Process(MonAgent)\% Processor Time",12.203263,10000, [0]
2026-01-29T19:30:58.0591454Z,4,5548,"\Process(MonAgent)\Handle Count",545.000000,10000, [0]
