[0] Time Stamp,PublisherId,TimeCreated,PublisherName,Channel,LoggingComputer,EventNumber,EventCategory,EventLevel,UserName,RawXml,EventDescription,RenderingInfo,EventRecordId,Keywords,SchemaID
[1] Time Stamp,ObfuscatedData
2026-03-26T12:55:37.6838286Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:37.683828600Z","Microsoft-Windows-Security-Auditing","Security","amawin","4953","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4953</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:37.683828600Z'/><EventRecordID>96170</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='968'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='Profile'>All</Data><Data Name='ReasonForRejection'>An error occurred.</Data><Data Name='RuleId'>WMPNetworkSvc-2</Data><Data Name='RuleName'>-</Data></EventData></Event>","Windows Firewall ignored a rule because it could not be parsed.
	
Profile:	All

Reason for Rejection:	An error occurred.

Rule:
	ID:	WMPNetworkSvc-2
	Name:	-",,"96170","0x8010000000000000", [0]
2026-03-26T12:55:37.6838287Z,"{555908d1-a6d7-4695-8e1e-26931d2012f4}","2026-02-24T05:49:48.991646000Z","Service Control Manager","System","amawin","7043","0","2","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Service Control Manager' Guid='{555908d1-a6d7-4695-8e1e-26931d2012f4}' EventSourceName='Service Control Manager'/><EventID Qualifiers='49152'>7043</EventID><Version>0</Version><Level>2</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8080000000000000</Keywords><TimeCreated SystemTime='2026-02-24T05:49:48.991646000Z'/><EventRecordID>11717</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-e07e-70b5f6a4dc01}'/><Execution ProcessID='816' ThreadID='2948'/><Channel>System</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='param1'>Windows Defender Advanced Threat Protection Service</Data><Binary>530065006E00730065000000</Binary></EventData></Event>","The Windows Defender Advanced Threat Protection Service service did not shut down properly after receiving a preshutdown control.",,"11717","0x8080000000000000", [0]
2026-03-26T12:55:37.6839098Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:37.683909800Z","Microsoft-Windows-Security-Auditing","Security","amawin","4953","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4953</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:37.683909800Z'/><EventRecordID>96171</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='968'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='Profile'>All</Data><Data Name='ReasonForRejection'>The target schema version does not support port ranges.</Data><Data Name='RuleId'>Wcmsvc-2</Data><Data Name='RuleName'>Allow TCP traffic from Wcmsvc</Data></EventData></Event>","Windows Firewall ignored a rule because it could not be parsed.
	
Profile:	All

Reason for Rejection:	The target schema version does not support port ranges.

Rule:
	ID:	Wcmsvc-2
	Name:	Allow TCP traffic from Wcmsvc",,"96171","0x8010000000000000", [0]
2026-03-26T12:55:37.6839099Z,"00000000-0000-0000-0000-000000000000","2026-03-26T12:55:07.816806900Z","volmgr","System","amawin","46","0","2","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='volmgr'/><EventID Qualifiers='49156'>46</EventID><Level>2</Level><Task>0</Task><Keywords>0x80000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:07.816806900Z'/><EventRecordID>11769</EventRecordID><Channel>System</Channel><Computer>amawin</Computer><Security/></System><EventData><Data>\Device\HarddiskVolume4</Data><Binary>0000000001000000000000002E0004C0091000000F0000C000000000000000000000000000000000</Binary></EventData></Event>","Crash dump initialization failed!",,"11769","0x80000000000000", [0]
2026-03-26T12:55:37.6839838Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:37.683983800Z","Microsoft-Windows-Security-Auditing","Security","amawin","4953","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4953</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:37.683983800Z'/><EventRecordID>96172</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='968'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='Profile'>All</Data><Data Name='ReasonForRejection'>An error occurred.</Data><Data Name='RuleId'>SearchProtocolHost-2</Data><Data Name='RuleName'>-</Data></EventData></Event>","Windows Firewall ignored a rule because it could not be parsed.
	
Profile:	All

Reason for Rejection:	An error occurred.

Rule:
	ID:	SearchProtocolHost-2
	Name:	-",,"96172","0x8010000000000000", [0]
2026-03-26T12:55:37.6839839Z,"00000000-0000-0000-0000-000000000000","2026-03-26T12:55:11.401872400Z","mlx4_bus","System","amawin","64","0","3","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='mlx4_bus'/><EventID Qualifiers='32776'>64</EventID><Level>3</Level><Task>0</Task><Keywords>0x80000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:11.401872400Z'/><EventRecordID>11791</EventRecordID><Channel>System</Channel><Computer>amawin</Computer><Security/></System><EventData><Data></Data><Data>2b2fcb18-e9a5-4409-b10</Data><Data>RoCE v2.0</Data><Data>No RoCE</Data><Binary>00000000040030000000000040000880000000000000000000000000000000000000000000000000</Binary></EventData></Event>","2b2fcb18-e9a5-4409-b10: RoCE v2.0 mode was requested, but it is not supported. The NIC starts in No RoCE mode. 
 NOTE: If your environment contains mix of different NIC types, you need to make sure that the whole environment is configured to use the same RoCE mode, 
 otherwise the traffic between the different NICs does not work.",,"11791","0x80000000000000", [0]
2026-03-26T12:55:37.6840517Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:37.684051700Z","Microsoft-Windows-Security-Auditing","Security","amawin","4953","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4953</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:37.684051700Z'/><EventRecordID>96173</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='968'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='Profile'>All</Data><Data Name='ReasonForRejection'>An error occurred.</Data><Data Name='RuleId'>MDEServer-1</Data><Data Name='RuleName'>-</Data></EventData></Event>","Windows Firewall ignored a rule because it could not be parsed.
	
Profile:	All

Reason for Rejection:	An error occurred.

Rule:
	ID:	MDEServer-1
	Name:	-",,"96173","0x8010000000000000", [0]
2026-03-26T12:55:38.6189971Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:38.618997100Z","Microsoft-Windows-Security-Auditing","Security","amawin","4957","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4957</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:38.618997100Z'/><EventRecordID>96199</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='972'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='RuleId'>PrivateNetwork Inbound Default Rule</Data><Data Name='RuleName'>PrivateNetwork Inbound Default Rule</Data><Data Name='RuleAttr'>Remote Addresses</Data></EventData></Event>","Windows Firewall did not apply the following rule:

Rule Information:
	ID:	PrivateNetwork Inbound Default Rule
	Name:	PrivateNetwork Inbound Default Rule

Error Information:
	Reason:	Remote Addresses resolved to an empty set.",,"96199","0x8010000000000000", [0]
2026-03-26T12:55:38.6190640Z,"{54849625-5478-4994-a5ba-3e3b0328c30d}","2026-03-26T12:55:38.619064000Z","Microsoft-Windows-Security-Auditing","Security","amawin","4957","13571","0","N/A","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Security-Auditing' Guid='{54849625-5478-4994-a5ba-3e3b0328c30d}'/><EventID>4957</EventID><Version>0</Version><Level>0</Level><Task>13571</Task><Opcode>0</Opcode><Keywords>0x8010000000000000</Keywords><TimeCreated SystemTime='2026-03-26T12:55:38.619064000Z'/><EventRecordID>96200</EventRecordID><Correlation ActivityID='{22afd636-aec1-0001-6299-2dc41fbddc01}'/><Execution ProcessID='860' ThreadID='972'/><Channel>Security</Channel><Computer>amawin</Computer><Security/></System><EventData><Data Name='RuleId'>PrivateNetwork Outbound Default Rule</Data><Data Name='RuleName'>PrivateNetwork Outbound Default Rule</Data><Data Name='RuleAttr'>Remote Addresses</Data></EventData></Event>","Windows Firewall did not apply the following rule:

Rule Information:
	ID:	PrivateNetwork Outbound Default Rule
	Name:	PrivateNetwork Outbound Default Rule

Error Information:
	Reason:	Remote Addresses resolved to an empty set.",,"96200","0x8010000000000000", [0]
